order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
292,29552,prior,15,3,16,7
294,54538,prior,33,0,12,7
297,29096,prior,1,0,11,
298,35569,prior,6,5,17,5
299,10546,prior,12,2,10,6
302,54878,prior,12,5,12,8
304,55713,prior,58,1,13,2
311,25023,prior,17,2,11,30
320,17669,prior,1,1,15,
322,36278,prior,2,1,9,7
323,60766,prior,13,4,10,7
325,9579,prior,2,3,13,30
326,33704,prior,12,3,9,7
327,58707,prior,21,6,9,8
333,15068,prior,36,4,10,3
334,7114,prior,13,0,8,20
336,60174,prior,14,2,13,21
337,44598,prior,27,1,10,19
338,61454,prior,38,3,13,5
339,34416,prior,57,2,16,5
344,61721,prior,10,4,11,7
347,17155,prior,94,1,16,7
348,42181,prior,11,2,16,8
351,26183,prior,18,5,14,1
354,25862,prior,19,5,10,8
355,28266,prior,13,1,13,27
360,26871,prior,2,2,16,30
361,58087,prior,1,2,0,
367,48730,prior,3,4,19,19
370,49030,prior,34,6,10,10
371,27212,prior,7,2,13,10
377,1868,prior,65,1,13,2
379,6801,prior,59,5,23,7
381,52824,prior,19,0,14,5
385,32268,prior,21,6,16,5
386,55492,test,8,0,15,30
389,11216,prior,8,4,9,5
392,37700,prior,5,3,8,7
403,16181,prior,10,5,12,14
406,51849,prior,5,5,9,19
408,45631,prior,17,1,18,14
409,41502,prior,7,1,18,17
415,48412,prior,1,4,18,
416,34870,prior,13,4,13,3
418,33565,test,12,0,12,14
427,19785,prior,4,1,13,9
428,33799,prior,16,4,10,2
438,39176,prior,19,4,15,3
439,56056,prior,13,3,10,9
446,22274,prior,93,5,13,0
453,27896,prior,16,0,12,7
454,11335,prior,23,1,17,14
459,18550,prior,10,1,8,29
461,40496,prior,8,0,15,12
469,54336,prior,3,5,16,7
470,4793,prior,14,5,15,30
471,52745,prior,5,6,18,30
472,22824,prior,26,2,20,1
477,13665,prior,3,4,12,30
479,31038,prior,9,2,9,16
480,56158,prior,4,4,18,4
481,61134,prior,31,5,17,8
489,23535,prior,5,2,12,30
490,32953,prior,40,1,15,6
496,7580,prior,3,5,12,4
500,26454,prior,8,0,8,22
504,2201,prior,10,3,17,22
506,8941,prior,24,3,8,30
508,51003,prior,6,5,11,10
511,61839,prior,5,6,17,13
514,18201,prior,15,4,10,6
516,49838,prior,8,3,15,10
518,20663,prior,44,0,20,7
522,35250,prior,6,1,15,12
526,17900,prior,9,0,23,10
527,39332,prior,6,2,21,10
529,34037,prior,6,4,10,30
542,12899,prior,30,1,15,3
543,30816,prior,1,0,12,
545,35519,prior,7,0,9,1
550,36504,prior,29,5,16,10
552,18926,prior,22,4,13,12
554,34076,prior,4,2,22,30
555,40590,prior,70,2,7,4
558,5721,prior,7,1,11,6
559,22322,prior,20,1,4,16
564,8422,prior,34,6,17,15
565,45892,prior,47,5,10,4
570,16482,prior,12,3,14,7
573,42147,prior,16,1,14,9
576,38664,prior,5,1,16,6
577,22836,prior,18,3,18,3
580,38171,prior,46,3,13,5
586,31030,prior,16,2,11,11
587,13112,prior,39,2,12,8
591,31111,prior,14,5,17,8
593,57957,prior,7,1,7,17
595,32240,prior,68,4,6,3
596,60562,prior,11,0,10,12
597,43517,prior,12,1,19,2
599,5217,prior,4,1,12,5
600,34215,prior,8,2,13,4
604,26175,test,28,1,11,12
605,37949,prior,20,1,12,0
606,42671,prior,30,2,20,4
609,25883,prior,4,2,15,1
613,53840,prior,8,6,11,6
614,33769,prior,4,5,18,20
615,36811,prior,27,6,8,11
616,35556,prior,4,6,17,30
618,41594,prior,17,1,19,18
623,37804,prior,63,3,12,3
625,39460,prior,85,1,10,7
626,10747,prior,78,3,13,2
629,3351,prior,3,3,0,30
630,51955,prior,1,0,16,
633,54591,prior,5,1,14,5
637,1177,prior,23,5,17,10
640,34791,prior,4,6,0,30
641,29916,prior,7,2,9,7
643,17076,prior,1,0,8,
650,38617,prior,52,6,12,4
654,54729,prior,52,5,13,7
663,10441,prior,20,5,20,1
665,28332,prior,7,6,23,14
666,5152,prior,2,5,12,13
667,37763,prior,2,3,16,2
668,38722,prior,10,1,15,9
672,30564,prior,37,6,22,0
682,36916,prior,18,6,6,2
686,12445,prior,11,2,4,13
687,45258,prior,23,6,13,5
691,32597,prior,23,1,10,14
693,46277,prior,4,5,9,7
696,17551,prior,16,2,17,3
699,23011,prior,4,2,20,3
704,61148,prior,31,0,9,7
705,38886,prior,2,5,11,7
706,59106,prior,47,3,18,2
707,22757,prior,4,5,17,11
708,1873,prior,4,0,17,30
718,31957,prior,10,1,20,8
720,8910,prior,4,6,13,7
721,62846,prior,19,1,13,13
723,21823,prior,16,3,19,4
726,57362,prior,25,2,17,7
728,21456,prior,2,1,11,12
729,48968,prior,7,1,13,6
732,31513,prior,6,5,20,19
733,62760,prior,3,5,21,13
735,7358,prior,29,6,19,2
736,55633,prior,3,1,15,8
740,6832,prior,6,4,22,30
745,10031,prior,50,5,12,5
746,48900,prior,9,0,12,18
747,18237,prior,10,1,8,8
753,22350,prior,1,3,9,
754,6409,prior,33,6,11,28
755,5860,prior,53,3,12,1
756,26355,prior,12,6,13,2
759,51823,test,7,5,10,30
762,41751,train,5,6,12,6
764,21807,prior,5,6,12,7
766,13554,prior,27,1,10,6
767,59476,prior,16,0,10,11
769,37708,prior,6,4,10,19
774,27650,train,25,0,17,12
777,7870,prior,2,6,13,8
780,58975,prior,4,1,19,30
783,3671,prior,8,6,15,27
786,14386,prior,19,0,13,14
788,47066,prior,19,2,13,9
790,60800,prior,10,4,16,5
791,11419,prior,4,3,13,26
796,15161,prior,83,5,14,2
799,10600,prior,21,5,18,8
802,61190,prior,5,6,8,3
803,8535,prior,17,5,8,7
804,61834,prior,7,5,17,5
809,59478,prior,30,2,14,7
812,41934,prior,1,0,16,
813,28585,prior,8,4,8,30
814,2777,prior,17,0,19,21
817,50237,prior,61,4,15,3
819,57911,prior,3,5,23,18
822,37613,prior,65,2,16,4
832,3683,prior,20,0,10,7
835,1440,prior,3,2,14,6
841,56904,prior,4,4,13,30
842,44062,prior,10,6,11,7
844,27766,train,10,6,15,11
846,7864,prior,5,4,16,30
849,30009,prior,4,2,13,3
851,37473,prior,47,2,11,4
853,15634,prior,14,5,19,3
861,35487,prior,23,3,12,7
864,22835,prior,52,4,15,8
865,34108,prior,8,6,13,7
867,39021,prior,51,3,13,1
877,2609,prior,22,5,15,3
878,61911,train,9,2,13,30
884,5910,prior,16,3,10,9
889,1264,prior,25,1,7,4
890,28394,prior,6,4,17,30
892,44995,prior,5,5,6,30
899,28945,prior,12,3,10,10
900,24019,prior,30,1,17,2
904,47848,train,10,4,9,24
907,10799,prior,3,4,11,28
909,42474,prior,5,4,15,30
913,45933,prior,28,2,9,6
916,29494,prior,28,0,8,6
917,55154,prior,2,1,12,6
918,55978,prior,3,3,15,20
920,15956,prior,8,1,8,6
931,32252,prior,31,1,21,6
936,4484,prior,8,1,6,30
949,6141,prior,1,3,21,
951,39039,prior,6,0,7,8
954,62287,prior,22,6,15,13
963,26481,prior,9,0,19,30
964,22986,prior,58,0,11,5
967,24508,prior,9,0,16,26
969,37701,prior,19,0,8,0
973,30997,prior,7,1,7,11
975,2822,prior,2,1,15,27
977,24034,prior,10,6,17,19
980,25503,prior,21,1,17,4
988,310,train,100,2,9,4
990,61052,prior,7,4,11,30
991,53272,prior,19,5,16,26
998,51603,prior,10,0,17,15
1000,49841,prior,7,1,17,5
1001,47475,train,15,4,16,7
1007,22926,prior,9,1,16,13
1008,22285,prior,7,5,16,11
1010,20038,prior,10,4,14,6
1012,46454,prior,8,0,18,0
1014,29482,prior,23,0,7,12
1016,26337,prior,32,4,13,3
1021,19933,prior,23,3,11,6
1022,61516,prior,40,0,12,8
1024,49413,prior,44,5,16,3
1027,3357,prior,4,6,18,7
1030,32227,prior,16,6,12,6
1031,36181,prior,5,1,19,6
1035,50620,prior,7,5,10,10
1036,8547,prior,3,0,12,30
1037,54482,prior,4,4,12,4
1038,14857,prior,18,1,13,13
1039,60528,prior,8,5,18,2
1040,61895,prior,46,1,7,4
1042,16111,train,10,1,17,30
1048,25873,prior,18,5,0,4
1051,7743,prior,6,0,15,13
1052,2262,prior,15,0,19,3
1055,13127,prior,22,5,20,6
1056,36992,prior,11,5,14,30
1061,14868,prior,81,0,11,1
1063,20216,prior,30,1,14,10
1065,41498,prior,4,1,10,14
1067,24305,prior,4,5,12,5
1068,25993,prior,22,1,16,13
1073,42550,prior,10,6,9,11
1078,12670,prior,36,5,14,2
1079,5692,prior,3,1,19,3
1082,14777,prior,12,1,17,7
1085,55911,prior,1,6,16,
1089,6467,prior,7,4,9,4
1090,37618,prior,13,4,14,4
1093,13326,prior,10,3,16,3
1095,51753,prior,27,1,13,12
1096,13596,prior,4,6,13,7
1097,30502,prior,5,4,0,8
1103,1263,prior,9,1,13,4
1107,38259,prior,2,1,11,7
1108,14437,prior,23,5,16,2
1109,46701,prior,8,4,9,4
1114,52459,prior,20,3,10,8
1116,13337,prior,11,0,17,1
1118,14043,prior,5,2,19,14
1124,51359,prior,3,0,12,18
1126,43502,prior,28,3,11,5
1132,2590,prior,14,3,12,5
1134,47494,prior,13,0,20,1
1139,34221,train,4,5,7,30
1141,53240,prior,1,5,16,
1142,34005,prior,7,4,12,16
1149,60219,prior,25,0,13,5
1154,6418,prior,1,3,14,
1156,21237,prior,29,3,17,4
1157,7404,prior,9,6,12,15
1158,27661,prior,16,5,20,7
1162,38668,prior,1,0,12,
1173,20829,prior,9,5,9,21
1179,45417,prior,6,1,10,7
1180,56995,prior,1,1,8,
1187,15447,prior,63,5,11,4
1188,59458,prior,20,2,13,8
1194,26422,prior,7,2,13,20
1200,38930,prior,6,2,16,2
1201,19259,prior,13,0,16,6
1206,53103,prior,12,4,12,4
1207,36502,prior,10,0,9,3
1212,41479,prior,8,0,13,8
1216,20038,prior,18,0,11,7
1218,18633,prior,14,6,9,11
1220,23475,prior,3,0,17,26
1222,39727,prior,3,1,15,30
1230,21240,prior,22,2,17,6
1231,14895,prior,1,1,15,
1235,6362,prior,8,4,20,28
1236,37424,prior,4,2,19,30
1240,49898,prior,1,2,15,
1248,15959,prior,9,4,22,30
1250,34535,prior,44,4,14,6
1252,60527,prior,30,0,19,3
1255,39509,prior,34,4,19,0
1260,38720,prior,81,1,13,1
1264,39643,prior,1,0,13,
1265,12016,prior,1,2,21,
1274,6482,prior,10,1,19,0
1275,10125,train,5,0,12,30
1277,32227,prior,7,5,16,30
1283,45006,prior,10,6,11,10
1285,46511,prior,19,6,16,7
1293,10291,prior,27,3,13,12
1299,46546,prior,21,3,18,5
1300,29456,prior,6,4,9,20
1305,60067,prior,28,1,11,11
1310,29697,prior,4,1,12,5
1314,9221,prior,22,5,10,1
1316,29227,prior,30,3,15,7
1324,8747,prior,72,4,12,5
1326,17575,prior,8,6,7,30
1329,45517,prior,1,3,15,
1330,46800,prior,5,6,18,2
1334,36783,prior,21,2,13,30
1337,12918,prior,10,2,13,7
1343,52751,prior,1,1,20,
1344,37606,prior,13,2,12,4
1348,44705,prior,30,6,11,4
1352,50436,prior,37,4,17,3
1359,13141,prior,35,5,18,9
1363,43813,prior,1,2,13,
1365,43039,prior,7,5,20,25
1366,32257,prior,16,2,10,7
1369,53694,prior,25,6,19,4
1370,44922,prior,2,4,17,10
1371,60126,prior,34,1,20,7
1375,5801,prior,16,1,17,6
1376,45746,prior,54,4,9,4
1378,56008,prior,6,1,19,27
1381,10627,prior,4,6,16,4
1386,9479,prior,3,1,14,13
1388,32317,prior,1,3,10,
1402,48256,prior,2,6,13,14
1406,8018,prior,2,6,18,30
1408,55539,test,19,6,22,30
1418,59789,prior,17,4,9,6
1419,59784,prior,6,6,16,8
1422,58971,prior,32,0,12,10
1424,21469,prior,25,4,16,2
1425,2593,prior,4,1,14,7
1427,18981,prior,13,1,13,30
1430,9615,prior,17,5,10,7
1431,10580,prior,8,1,19,1
1433,9063,prior,1,2,19,
1438,6020,prior,17,6,18,30
1441,34094,prior,3,3,18,30
1444,19038,prior,35,1,11,13
1445,7983,prior,4,2,20,30
1449,55044,prior,8,3,14,9
1455,31562,prior,3,0,18,21
1458,2237,prior,10,4,16,18
1461,39929,prior,31,5,6,6
1471,36602,prior,16,1,13,7
1472,59796,prior,19,3,7,9
1473,31787,prior,5,5,14,30
1474,51308,prior,16,2,23,9
1475,27642,prior,12,1,16,15
1479,42986,prior,2,6,0,7
1483,90,prior,31,3,13,5
1484,54292,prior,25,5,14,8
1490,16592,prior,35,2,12,9
1495,16916,prior,1,1,11,
1498,27801,prior,40,5,12,6
1501,37187,prior,5,0,11,30
1504,22698,prior,29,2,8,8
1506,6344,prior,10,4,14,12
1509,2335,prior,31,6,19,7
1512,18327,prior,12,5,19,5
1517,60778,prior,7,5,16,3
1520,787,prior,29,5,13,12
1523,11852,prior,2,2,20,21
1525,4477,prior,34,2,10,4
1526,43322,prior,1,5,11,
1532,37578,prior,3,3,7,14
1534,26727,prior,7,6,8,7
1535,40828,prior,22,1,13,3
1537,51227,prior,37,1,11,11
1539,13531,prior,38,6,12,3
1543,11496,prior,9,6,17,4
1547,13607,prior,48,5,5,4
1549,12300,prior,34,0,17,8
1554,31417,prior,3,0,9,10
1558,28999,prior,48,4,8,4
1559,18606,prior,26,6,19,1
1560,7334,prior,19,6,7,7
1561,46866,prior,5,0,17,4
1562,35150,prior,32,0,9,28
1563,1417,prior,1,6,10,
1565,24659,prior,76,2,19,3
1567,22068,prior,14,5,10,26
1568,10241,prior,62,0,21,1
1574,60966,prior,13,2,13,8
1575,45211,prior,13,6,15,4
1578,50836,prior,30,4,13,10
1582,7658,prior,84,6,12,1
1586,31204,prior,14,5,13,10
1593,4730,prior,7,6,17,0
1595,34349,prior,2,1,13,3
1596,3758,prior,4,0,8,5
1601,32459,prior,8,0,14,30
1603,50921,prior,4,4,17,8
1608,47784,prior,8,3,11,7
1617,49373,prior,42,0,13,6
1618,11529,prior,28,6,19,2
1621,10592,prior,21,4,15,4
1627,16429,prior,12,1,11,10
1632,59616,prior,12,0,8,11
1638,8189,prior,5,5,18,30
1642,19963,prior,7,2,11,10
1644,55626,prior,63,2,17,2
1649,44563,prior,13,4,20,5
1653,5326,prior,3,2,13,17
1655,33650,prior,37,0,19,6
1656,18374,prior,3,2,17,2
1657,49017,prior,11,1,14,14
1659,51656,prior,3,3,11,15
1661,56927,prior,2,5,10,8
1662,2565,prior,7,5,14,13
1665,18795,prior,4,4,20,30
1667,15514,prior,4,0,21,30
1678,39449,prior,8,0,22,18
1686,34239,prior,11,3,11,5
1694,20468,prior,8,3,13,16
1695,62033,prior,19,1,16,2
1699,6126,prior,8,1,10,7
1706,41457,prior,23,2,9,9
1707,27921,prior,2,2,2,30
1711,58935,prior,7,1,16,30
1712,6766,prior,1,2,16,
1715,17029,prior,17,5,15,13
1717,59403,prior,31,6,14,1
1726,54902,prior,39,6,13,3
1727,8326,test,4,4,17,10
1735,25388,prior,9,0,18,0
1738,60363,prior,9,6,13,6
1744,20509,prior,14,1,14,12
1745,35314,prior,31,0,15,9
1752,37879,prior,5,6,12,5
1754,46345,prior,24,5,10,8
1759,17967,prior,3,1,19,17
1762,11323,prior,6,3,17,5
1766,16356,prior,3,4,22,10
1769,40125,prior,7,0,3,30
1770,678,prior,18,3,13,12
1774,10988,prior,1,0,15,
1775,4974,prior,20,0,9,8
1777,56604,prior,29,5,7,3
1778,12407,prior,35,1,8,6
1780,59211,prior,24,0,14,30
1781,54977,prior,3,4,9,11
1782,40874,prior,5,6,19,30
1783,13623,prior,1,1,10,
1784,53551,prior,7,0,10,6
1786,47819,prior,1,1,13,
1795,14221,prior,31,1,15,6
1799,30165,prior,12,4,13,2
1800,21061,prior,18,1,9,14
1806,49186,prior,59,4,12,0
1808,59974,prior,26,3,7,13
1823,5591,prior,2,2,15,30
1825,13517,prior,24,1,16,8
1828,28679,prior,8,1,15,6
1834,3626,prior,35,2,8,11
1835,24706,prior,22,0,9,18
1838,18244,prior,1,3,14,
1839,43844,prior,49,3,17,3
1842,46931,prior,10,1,8,8
1843,3051,prior,2,0,12,30
1850,8359,prior,35,2,16,4
1851,30038,train,8,3,10,14
1856,37762,prior,19,1,11,7
1865,7258,train,9,5,12,30
1866,28827,prior,2,5,20,1
1867,17054,test,11,3,19,18
1868,27568,prior,4,1,5,8
1873,34715,prior,6,0,14,12
1875,18632,prior,10,3,10,0
1877,61494,prior,2,1,12,7
1879,53130,prior,11,1,18,3
1880,20773,prior,6,1,16,15
1882,60361,prior,2,3,17,10
1883,45167,prior,3,0,11,9
1884,17155,prior,20,0,15,2
1886,20429,prior,16,3,14,5
1887,25085,prior,78,1,10,3
1889,56236,prior,1,1,16,
1890,2454,train,4,5,6,30
1891,46753,prior,3,1,15,15
1892,20558,prior,97,4,10,2
1896,6371,prior,3,1,15,28
1900,16883,prior,7,5,17,8
1903,17861,prior,6,1,19,1
1905,32004,prior,2,3,13,4
1913,34334,prior,13,6,11,30
1915,4631,prior,29,6,20,7
1916,48958,prior,19,2,12,1
1922,61231,prior,5,2,16,22
1925,43910,prior,6,6,20,30
1930,60932,prior,93,1,10,2
1933,59106,prior,91,0,18,0
1937,19251,prior,9,3,10,11
1939,41347,prior,2,5,14,30
1943,50082,prior,18,6,11,3
1944,1427,prior,59,6,21,3
1951,11912,prior,29,1,17,6
1957,45587,prior,34,6,11,7
1960,22285,prior,9,1,15,22
1963,46071,prior,11,4,16,25
1966,16408,prior,7,3,17,24
1968,3252,prior,17,1,9,7
1979,46712,prior,9,6,15,18
1980,30035,prior,3,2,8,1
1985,52691,prior,2,0,11,3
1991,55609,prior,7,5,11,3
1994,7691,train,9,2,10,14
1997,56586,prior,14,1,16,19
1998,54380,prior,11,2,8,5
2002,16370,prior,14,1,16,6
2004,28044,prior,2,0,20,3
2006,25242,prior,45,1,16,10
2008,56364,prior,8,2,9,30
2010,54171,prior,4,2,14,8
2013,2839,prior,1,1,18,
2021,14499,train,23,0,11,5
2024,35360,prior,18,1,16,14
2025,37866,prior,17,4,13,1
2027,6895,prior,49,4,13,10
2031,50761,prior,2,1,21,8
2033,25775,prior,27,4,13,1
2034,18748,test,13,0,0,30
2037,11231,prior,11,1,17,8
2044,27550,prior,14,5,17,11
2045,25636,prior,25,4,14,1
2047,7622,prior,6,1,18,23
2049,18978,prior,65,2,18,3
2051,20813,prior,10,1,13,3
2056,27625,prior,19,2,16,18
2060,14996,prior,11,4,16,6
2064,25322,prior,6,4,21,6
2067,45076,prior,7,6,9,15
2074,13701,prior,7,4,10,6
2088,11698,prior,4,3,7,9
2089,26938,prior,10,2,18,17
2091,38304,prior,1,4,14,
2095,26117,prior,5,3,15,1
2099,10882,prior,3,0,15,29
2101,21174,prior,10,2,11,5
2103,7236,prior,3,1,19,7
2105,62871,prior,36,2,11,7
2109,10293,prior,43,6,14,4
2110,36431,prior,5,5,13,24
2115,45744,train,10,2,22,23
2118,41074,prior,9,2,16,14
2121,31658,prior,15,4,22,18
2124,6118,prior,72,4,12,0
2127,2985,prior,11,3,2,17
2130,15003,prior,19,4,11,3
2137,26635,prior,19,6,20,6
2139,12325,prior,9,1,10,18
2141,36343,prior,3,4,16,16
2142,2086,prior,5,6,16,12
2143,44893,prior,14,0,13,5
2146,47543,prior,35,6,3,12
2149,14684,prior,5,6,13,12
2150,34016,prior,14,2,9,3
2151,16567,prior,11,4,12,0
2158,61516,prior,31,6,16,6
2159,32490,prior,10,0,16,7
2162,32860,prior,1,2,17,
2166,15682,prior,2,1,17,7
2170,10126,prior,16,5,19,19
2171,43644,prior,5,3,8,3
2177,12126,prior,2,4,15,8
2179,15979,prior,3,2,14,30
2182,55370,prior,25,5,15,30
2187,10228,prior,3,2,10,14
2188,10351,prior,7,3,14,24
2189,42507,prior,16,1,16,2
2190,23851,prior,3,2,11,10
2191,21272,train,12,3,17,15
2198,56325,prior,59,2,13,6
2199,150,prior,27,4,14,6
2202,5103,prior,60,4,12,2
2203,40211,prior,11,6,21,6
2204,21470,prior,15,6,16,2
2209,8273,prior,19,4,18,3
2211,32684,prior,9,6,21,6
2214,29412,prior,8,2,15,5
2215,22530,prior,4,2,15,30
2218,53130,prior,52,0,17,4
2223,53515,prior,14,2,15,11
2225,33867,prior,54,2,14,0
2228,42806,prior,8,2,18,14
2229,30222,prior,16,0,11,3
2232,10461,prior,7,0,14,10
2233,57522,prior,12,1,13,6
2238,14348,prior,1,5,7,
2241,31677,prior,26,6,7,15
2242,21024,prior,24,3,14,2
2244,58621,prior,1,4,8,
2250,12523,prior,4,5,7,28
2252,30752,prior,45,1,9,10
2253,39114,prior,15,5,8,18
2259,17224,prior,24,1,15,4
2264,45075,prior,3,4,15,7
2267,32246,test,27,3,11,19
2268,31637,prior,12,2,17,20
2269,16989,prior,36,2,9,2
2272,26225,prior,12,0,16,6
2276,13616,prior,1,0,14,
2277,42640,prior,12,6,7,17
2281,11111,prior,7,3,13,25
2289,23140,prior,12,0,15,2
2294,49918,prior,12,6,12,30
2295,48019,prior,26,5,10,15
2297,32424,test,6,5,21,30
2298,46935,prior,9,0,21,5
2300,24213,prior,5,2,8,22
2301,44250,prior,11,3,10,5
2308,8962,prior,8,3,22,7
2313,27565,prior,19,0,8,3
2316,55687,prior,18,4,14,4
2318,34285,train,6,3,14,23
2319,20730,prior,55,2,8,6
2321,15906,prior,21,6,16,13
2322,46534,prior,3,4,17,9
2326,4099,prior,10,0,14,5
2327,1519,prior,41,3,8,8
2329,23584,prior,4,3,18,4
2331,19601,prior,2,6,16,26
2333,15169,prior,11,1,0,6
2335,28910,prior,19,1,8,16
2341,3394,prior,60,4,10,4
2342,37388,prior,7,3,19,9
2345,55880,test,4,1,7,22
2346,17005,prior,13,2,15,2
2350,10722,prior,3,3,16,30
2351,45441,prior,7,4,17,2
2353,10518,prior,13,0,13,14
2363,49679,prior,3,4,9,27
2365,51979,prior,39,1,10,7
2376,22519,prior,4,1,21,30
2379,51645,prior,10,3,15,5
2380,56995,prior,33,2,15,1
2383,1498,prior,28,5,8,10
2384,62751,prior,12,6,11,9
2385,28921,prior,8,5,18,24
2387,39998,prior,25,0,8,14
2392,17870,prior,36,1,14,6
2395,8054,prior,31,4,22,12
2398,42650,prior,36,3,10,9
2400,34219,prior,12,1,20,2
2403,42706,prior,9,1,9,8
2406,62735,prior,1,2,10,
2407,21828,prior,15,6,14,8
2411,40806,prior,3,6,4,7
2413,14489,prior,50,2,18,7
2414,20283,prior,32,5,16,8
2417,54768,prior,21,4,11,12
2427,37668,prior,6,2,13,9
2435,20018,prior,5,6,15,30
2439,14702,prior,10,6,7,5
2445,816,train,5,0,16,30
2446,8046,prior,22,4,9,3
2449,50848,prior,22,2,14,30
2454,26392,prior,2,5,12,30
2456,39202,prior,9,1,15,13
2458,26897,prior,32,5,20,8
2461,35107,prior,15,3,17,19
2468,23856,train,12,2,19,2
2473,43562,prior,22,4,9,12
2476,28826,prior,37,2,8,5
2483,4141,prior,8,5,14,30
2487,33195,prior,60,0,15,4
2488,50631,prior,6,0,10,25
2489,32802,prior,47,3,6,4
2490,46255,prior,42,1,17,14
2494,33452,prior,27,0,12,5
2497,13531,prior,6,3,12,2
2500,9390,prior,5,0,21,30
2501,25596,prior,4,6,13,30
2510,4297,prior,10,4,12,6
2514,29244,prior,4,3,9,4
2518,7503,prior,21,1,16,5
2520,61928,prior,9,5,14,7
2521,14021,prior,11,3,16,18
2522,15521,prior,5,4,16,4
2524,15332,prior,9,1,17,12
2536,16722,prior,18,0,10,8
2544,36436,prior,2,4,10,9
2546,34882,prior,5,3,10,30
2551,20944,prior,54,6,18,4
2553,44519,prior,2,5,18,8
2554,46379,prior,13,2,16,13
2558,14663,prior,4,4,9,10
2560,35560,prior,14,2,15,25
2562,12102,prior,14,3,8,2
2565,62224,prior,2,2,15,30
2569,55169,prior,4,0,12,7
2574,60514,prior,12,4,18,17
2575,57399,prior,2,6,13,3
2576,45827,prior,42,3,9,2
2582,8198,prior,45,3,13,5
2583,32975,prior,2,3,13,11
2585,56048,prior,36,0,12,7
2587,22758,prior,18,3,9,8
2590,61840,prior,4,0,14,7
2592,28238,prior,84,2,9,4
2593,206,prior,7,6,13,25
2594,24124,prior,6,1,17,12
2595,40846,prior,75,1,9,2
2602,24913,prior,34,2,18,9
2605,50630,prior,6,2,10,3
2606,14600,prior,2,2,0,17
2609,47669,prior,33,5,8,10
2612,33907,prior,41,2,8,5
2620,28186,prior,23,1,16,10
2625,50038,prior,18,5,15,15
2626,41242,prior,12,1,13,30
2638,12394,prior,8,4,16,23
